element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Type,
W,4,"=""131.0825""","=""131.0822""","=""10""","=""""",,,
Rb,4,"=""131.0865""","=""131.08627+""","=""2""","=""""",,,
Na,3,"=""""","=""131.0912""","=""""","=""3.16e+07""",C+,,
Ir,4,"=""131.0939""","=""131.09344""","=""35""","=""5.11e+07""",,,
Co,3,"=""""","=""131.09397""","=""""","=""1.14e+02""",C,E2,
N,1,"=""""","=""131.0943""","=""""","=""6.05e+07""",B,,
N,1,"=""131.095""","=""131.0950""","=""250""","=""1.75e+07""",B,,
Pt,4,"=""131.0958""","=""131.09574""","=""3288""","=""1.85e+08""",,,
Pt,2,"=""131.09825""","=""131.09819""","=""300""","=""""",,,
Ir,4,"=""131.0997""","=""131.1001""","=""26""","=""8.00e+07""",,,
V,2,"=""131.1022""","=""131.100663""","=""12000h*""","=""""",,,
V,2,"=""131.1022""","=""131.101727""","=""12000h*""","=""3.3e+07""",D+,,
W,3,"=""131.1046""","=""131.1045""","=""20""","=""""",,,
Fe,2,"=""131.1057""","=""131.106326""","=""5000""","=""3.0e+08""",E,,
W,3,"=""131.1089""","=""131.1090""","=""100""","=""""",,,
Ni,5,"=""131.11110""","=""131.1024""","=""110*""","=""2.63e+08""",C,,
Ni,5,"=""131.11110""","=""131.11110""","=""110*""","=""8.12e+08""",B+,,
Co,2,"=""131.1122""","=""131.1135""","=""17000""","=""3.7e+07""",D,,
W,3,"=""131.1125""","=""131.1125""","=""20""","=""""",,,
Pt,5,"=""131.1131""","=""131.1137""","=""187""","=""1.33e+08""",,,
Na,2,"=""131.1158""","=""""","=""10""","=""""",,,
Na,3,"=""""","=""131.1160""","=""""","=""1.64e+07""",C,,
Fe,2,"=""131.1173""","=""131.117266""","=""800""","=""""",,,
Re,4,"=""131.12103""","=""131.12130""","=""94""","=""4.80e+07""",,,
Pt,4,"=""131.1227""","=""131.12249""","=""957""","=""4.38e+07""",,,
Fe,5,"=""131.1239""","=""131.12378""","=""800""","=""1.06e+08""",C,,
V,2,"=""131.1290""","=""131.127469""","=""25000h*""","=""""",,,
V,2,"=""131.1290""","=""131.12924""","=""25000h*""","=""""",,,
Sn,3,"=""131.1331""","=""131.1328""","=""60""","=""""",,,
Sr,5,"=""131.1331""","=""131.1334""","=""16""","=""""",,,
Ga,5,"=""131.135""","=""131.139+""","=""10""","=""""",,,
Ta,4,"=""131.135""","=""""","=""85""","=""""",,,
Ir,4,"=""131.1351""","=""131.1353""","=""976""","=""1.75e+09""",,,
C,1,"=""131.1362""","=""131.13627""","=""3800000""","=""5.9e+07""",B,,
Fe,3,"=""131.1373""","=""131.13738""","=""800""","=""""",,,
Rb,4,"=""131.1392""","=""131.13879+""","=""14bl""","=""""",,,
Pt,4,"=""131.1394""","=""131.1396""","=""1778""","=""3.81e+08""",,,
W,5,"=""131.1465""","=""131.1472""","=""76""","=""""",,,
Mo,5,"=""131.1474""","=""""","=""1900""","=""""",,,
Si,11,"=""""","=""131.148""","=""""","=""2.27e+08""",B+,,
Pt,5,"=""131.1518""","=""131.1519""","=""2449""","=""2.08e+08""",,,
Ni,5,"=""131.15590""","=""131.15569""","=""77""","=""2.48e+08""",C,,
W,3,"=""131.1576""","=""131.1577""","=""100""","=""""",,,
Fe,2,"=""131.1612""","=""131.160940""","=""4000""","=""1.6e+07""",E,,
Mg,4,"=""131.1650""","=""131.1649""","=""12""","=""5.53e+08""",B+,,
Tb,4,"=""131.170""","=""""","=""600""","=""""",,,
Na,4,"=""""","=""131.172""","=""""","=""3.82e+00""",C+,M1,
Ba,3,"=""131.1744""","=""131.1741""","=""8""","=""""",,,
Cu,2,"=""131.176""","=""131.179458""","=""3900""","=""""",,,
Fe,2,"=""131.1765""","=""131.176269""","=""2000""","=""""",,,
Ir,4,"=""131.1768""","=""131.17622""","=""39""","=""2.11e+07""",,,
W,4,"=""131.1824""","=""131.1821""","=""50""","=""""",,,
Fe,5,"=""131.1828""","=""131.1829""","=""760""","=""4.4e+08""",C,,
Re,3,"=""131.18306""","=""131.18296""","=""22""","=""4.00e+07""",,,
Sc,5,"=""131.1839""","=""131.1833""","=""7""","=""""",,,
Co,2,"=""131.1857""","=""131.1857""","=""17000""","=""1.3e+08""",D,,
W,4,"=""131.1883""","=""131.1883""","=""20bl""","=""""",,,
Pt,4,"=""131.1894""","=""131.1889""","=""351""","=""9.58e+07""",,,
W,3,"=""131.1913""","=""131.1907""","=""100bl*""","=""""",,,
W,3,"=""131.1913""","=""131.1918""","=""100bl*""","=""""",,,
C,1,"=""131.1925""","=""131.19242""","=""1000000""","=""""",,,
Mg,4,"=""131.1930""","=""131.1931""","=""7""","=""3.63e+07""",C,,
Kr,4,"=""131.196""","=""131.1962+""","=""2""","=""""",,,
Mg,6,"=""""","=""131.199""","=""""","=""2.07e+05""",E,,
Mg,6,"=""""","=""131.199""","=""""","=""1.24e+06""",E,,
Mg,6,"=""""","=""131.199""","=""""","=""2.20e+06""",D,,
Mg,6,"=""""","=""131.199""","=""""","=""1.72e+06""",E,,
Mg,6,"=""""","=""131.199""","=""""","=""2.89e+06""",D,,
Sn,3,"=""131.2003""","=""131.1999""","=""88""","=""""",,,
Na,2,"=""131.2026""","=""131.2037""","=""30""","=""""",,,
Ni,5,"=""131.2031""","=""131.2033""","=""87d,bl""","=""3.40e+08""",C,,
Si,6,"=""""","=""131.209""","=""""","=""9.73e+07""",B+,,
W,7,"=""131.2109""","=""131.2112""","=""5000""","=""""",,,
Ir,4,"=""131.2125""","=""131.21114""","=""50""","=""6.71e+07""",,,
Al,4,"=""131.2135""","=""131.2136""","=""20""","=""9.75e+07""",C+,,
Re,5,"=""131.22005""","=""131.2196""","=""76""","=""1.43e+08""",,,
Os,3,"=""131.22149""","=""131.22080""","=""182""","=""1.60e+08""",,,
Na,4,"=""""","=""131.222""","=""""","=""2.14e+00""",C+,M1,
Co,3,"=""""","=""131.2227""","=""""","=""8.3e+01""",C,E2,
Rb,4,"=""131.2233""","=""131.22356+""","=""6""","=""""",,,
C,1,"=""131.2246""","=""131.22469""","=""660000""","=""2.4e+05""",E,,
Pt,4,"=""131.2266""","=""131.2270""","=""297""","=""8.25e+07""",,,
Sn,2,"=""131.2275""","=""131.2274""","=""210000""","=""1.77e+09""",B+,,
W,4,"=""131.2282""","=""131.2280""","=""100w""","=""""",,,
Cr,7,"=""131.2307""","=""131.2308+""","=""7""","=""""",,,
W,5,"=""131.2319""","=""131.2312""","=""75""","=""""",,,
Pt,4,"=""131.2321""","=""131.23211""","=""357""","=""7.30e+07""",,,
Ir,4,"=""131.2330""","=""131.2329""","=""550bl(Ir III)""","=""1.65e+08""",,,
Co,3,"=""""","=""131.2330""","=""""","=""6.1e+00""",C,E2,
W,3,"=""131.2377""","=""131.2377""","=""20bl""","=""""",,,
Pt,4,"=""131.2379""","=""131.2375""","=""602""","=""2.18e+08""",,,
Cu,3,"=""131.239""","=""""","=""200""","=""""",,,
Re,4,"=""131.23907""","=""131.2381""","=""127bl(Re III)""","=""8.60e+07""",,,
Re,3,"=""131.23907""","=""131.23952""","=""127bl(Re IV)""","=""8.00e+07""",,,
V,2,"=""131.2408""","=""131.240910""","=""3700h""","=""""",,,
Al,5,"=""131.243""","=""131.2422""","=""10""","=""1.90e+07""",B+,,
Fe,2,"=""131.2497""","=""131.249197""","=""2800""","=""3.4e+06""",D,,
Fe,2,"=""131.2527""","=""131.252685""","=""3500""","=""""",,,
Ir,4,"=""131.2552""","=""131.25533""","=""172""","=""1.83e+08""",,,
W,3,"=""131.2560""","=""131.2561""","=""100bl""","=""""",,,
Na,2,"=""131.2587""","=""""","=""20""","=""""",,,
Na,3,"=""""","=""131.2590""","=""""","=""7.27e+07""",B,,
Si,3,"=""131.259""","=""131.2591""","=""13""","=""6.66e+08""",D+,,
Sr,3,"=""131.2657""","=""131.26517""","=""14p""","=""""",,,
Ni,5,"=""131.2710""","=""131.2656""","=""100*""","=""4.12e+08""",C,,
Ni,5,"=""131.2710""","=""131.2728""","=""100*""","=""5.31e+08""",C,,
Ni,5,"=""131.2710""","=""131.2740""","=""100*""","=""2.33e+08""",C,,
V,4,"=""131.2717""","=""131.2717+""","=""20""","=""8.6e+08""",D,,
Ba,3,"=""131.2754""","=""131.2755""","=""8""","=""""",,,
Bi,3,"=""131.2768""","=""131.2775""","=""460""","=""1.2e+08""",D+,,
Pt,2,"=""131.27858""","=""131.27877""","=""330""","=""""",,,
Mn,2,"=""131.280""","=""131.2805""","=""2""","=""""",,,
Co,3,"=""""","=""131.28020""","=""""","=""8.9e+00""",C,E2,
Re,3,"=""131.28386""","=""131.28335""","=""34""","=""1.23e+08""",,,
C,1,"=""131.2856""","=""131.28548""","=""170000""","=""""",,,
N,1,"=""""","=""131.287""","=""""","=""5.53e+04""",B,,
Co,2,"=""131.2901""","=""131.2884""","=""4300i""","=""4.6e+07""",D,,
Os,3,"=""131.29035""","=""131.2901""","=""33bl(Os V)""","=""1.04e+08""",,,
Re,3,"=""131.29113""","=""131.29142""","=""1466""","=""6.64e+08""",,,
Fe,3,"=""131.2924""","=""131.29275""","=""590""","=""""",,,
Pt,2,"=""131.29308""","=""131.29306""","=""820""","=""""",,,
W,4,"=""131.3014""","=""131.3011""","=""20""","=""""",,,
Ir,4,"=""131.3038""","=""131.3034""","=""55""","=""1.35e+08""",,,
Pb,4,"=""131.305""","=""""","=""20""","=""""",,,
Sr,4,"=""131.3065""","=""131.30883""","=""6""","=""""",,,
N,1,"=""""","=""131.307""","=""""","=""2.79e+05""",B,,
N,1,"=""""","=""131.308""","=""""","=""7.66e+03""",B,,
Sn,2,"=""131.3087""","=""131.3087""","=""100000bl(Sn III)""","=""2.0e+09""",D+,,
Sn,3,"=""131.3090""","=""131.3091""","=""72""","=""""",,,
Pt,4,"=""131.3091""","=""131.3093""","=""495""","=""2.48e+08""",,,
Fe,3,"=""131.3093""","=""131.30933""","=""590""","=""""",,,
Sr,5,"=""131.3163""","=""131.3163""","=""10""","=""""",,,
Fe,2,"=""131.3183""","=""131.317171""","=""1200bl(Fe II)*""","=""""",,,
Fe,2,"=""131.3183""","=""131.318221""","=""1200bl(Fe II)*""","=""""",,,
S,1,"=""131.32493""","=""131.32492""","=""600g""","=""5.54e+06""",D+,,
V,3,"=""131.327""","=""""","=""300""","=""""",,,
N,1,"=""""","=""131.328""","=""""","=""2.37e+05""",B,,
N,1,"=""""","=""131.328""","=""""","=""1.15e+05""",B,,
Gd,4,"=""131.329""","=""""","=""500""","=""""",,,
Ni,5,"=""131.33060""","=""131.33056""","=""95""","=""7.33e+08""",C,,
Re,4,"=""131.33228""","=""131.3329""","=""81""","=""1.81e+08""",,,
Mo,7,"=""131.3339""","=""131.33442+""","=""600""","=""""",,,
Fe,2,"=""131.3343""","=""131.333785""","=""2300""","=""""",,,
V,3,"=""131.335""","=""""","=""400""","=""""",,,
Fe,2,"=""131.3376""","=""131.337984""","=""700""","=""""",,,
C,1,"=""131.3390""","=""131.338746""","=""600000""","=""""",,,
Pt,4,"=""131.3396""","=""131.3396""","=""592""","=""7.25e+08""",,,
Mn,2,"=""131.341""","=""131.3395""","=""2""","=""""",,,
C,1,"=""131.3462""","=""131.346448""","=""2000000""","=""6.e+06""",E,,
Br,3,"=""131.35""","=""""","=""250""","=""""",,,
W,3,"=""131.3506""","=""131.3507""","=""200""","=""""",,,
Mo,5,"=""131.3527""","=""131.35231""","=""110000""","=""4.4e+08""",D,,
Na,3,"=""""","=""131.3554""","=""""","=""5.24e+07""",C+,,
Pt,4,"=""131.3577""","=""131.3580""","=""136""","=""3.25e+07""",,,
Fe,5,"=""131.3585""","=""131.35851""","=""430""","=""8.5e+07""",C,,
C,1,"=""131.3633""","=""131.36283""","=""75000""","=""""",,,
C,2,"=""""","=""131.3678""","=""""","=""1.9e+04""",E,,
Pt,5,"=""131.3695""","=""131.3690""","=""1074""","=""2.41e+08""",,,
C,2,"=""""","=""131.3695""","=""""","=""8.e+04""",D,,
Ir,4,"=""131.3725""","=""131.3732""","=""18""","=""1.64e+08""",,,
Pt,6,"=""131.37543""","=""131.3756""","=""634""","=""1.73e+08""",,,
Mn,2,"=""131.377""","=""131.3749""","=""10*""","=""""",,,
Mn,2,"=""131.377""","=""131.3782""","=""10*""","=""""",,,
Y,5,"=""131.3774""","=""131.3774""","=""250""","=""1.87e+09""",,,
Pt,5,"=""131.3804""","=""131.3804""","=""675""","=""1.37e+08""",,,
V,2,"=""131.3887""","=""131.38828""","=""12000h""","=""""",,,
W,4,"=""131.3929""","=""131.3929""","=""50d""","=""""",,,
I,1,"=""131.3947""","=""131.395031""","=""41000""","=""""",,,
Hg,2,"=""131.3964""","=""131.39611""","=""15""","=""3.7e+06""",,,
Sc,5,"=""131.3982""","=""131.3960""","=""7""","=""""",,,
Al,6,"=""""","=""131.4""","=""""","=""6.22e+07""",C+,,
Al,6,"=""""","=""131.4""","=""""","=""1.12e+08""",B,,
Sr,4,"=""131.4032""","=""131.40387""","=""16""","=""""",,,
Zr,6,"=""131.4039""","=""131.4034""","=""10""","=""3.6e+08""",C,,
Xe,3,"=""131.4088""","=""131.40851+""","=""10""","=""""",,,
Pt,5,"=""131.4090""","=""131.40891""","=""1206""","=""1.58e+08""",,,
W,3,"=""131.4106""","=""131.4105""","=""10""","=""""",,,
In,2,"=""131.412""","=""131.40862""","=""3""","=""1.1e+05""",D+,,
Kr,4,"=""131.414""","=""131.4150+""","=""10""","=""""",,,
Cu,2,"=""131.41498""","=""131.414936""","=""50000""","=""""",,,
Sn,3,"=""131.4152""","=""131.41502""","=""76""","=""""",,,
Pt,6,"=""131.41697""","=""131.4174""","=""302""","=""3.10e+08""",,,
Re,4,"=""131.42238""","=""131.42257""","=""454""","=""4.56e+08""",,,
Fe,2,"=""131.4226""","=""131.423148""","=""2100""","=""""",,,
Ir,4,"=""131.4257""","=""131.42570""","=""733""","=""5.44e+08""",,,
W,3,"=""131.4292""","=""131.4292""","=""50bl""","=""""",,,
Ni,5,"=""131.4333""","=""131.4281""","=""140*""","=""2.56e+08""",C,,
Ni,5,"=""131.4333""","=""131.4304""","=""140*""","=""6.94e+08""",C,,
Ni,5,"=""131.4333""","=""131.4352""","=""140*""","=""6.71e+08""",B,,
Cu,2,"=""131.43371""","=""131.433637""","=""150000""","=""""",,,
Xe,3,"=""131.4390""","=""131.43888+""","=""1""","=""""",,,
C,2,"=""""","=""131.4393""","=""""","=""1.0e+05""",E,,
Se,4,"=""131.44""","=""""","=""285""","=""""",,,
C,2,"=""""","=""131.4410""","=""""","=""3.9e+04""",D,,
Ne,4,"=""131.4463""","=""131.4449""","=""1*""","=""""",,,
Ne,4,"=""131.4463""","=""131.4507""","=""1*""","=""""",,,
Re,4,"=""""","=""131.4494""","=""m""","=""1.88e+08""",,,
Mg,3,"=""131.450""","=""131.4501""","=""bl""","=""""",,,
Y,3,"=""131.451""","=""""","=""5000""","=""""",,,
Fe,5,"=""131.4529""","=""131.45256""","=""1100""","=""1.2e+07""",D,,
Sn,4,"=""131.455""","=""""","=""1000""","=""""",,,
Y,5,"=""131.4550""","=""131.4549""","=""p(Y III):""","=""1.96e+09""",,,
Nb,3,"=""131.456""","=""""","=""60""","=""""",,,
Pt,2,"=""131.45907""","=""131.45914""","=""750""","=""""",,,
Fe,3,"=""131.4608""","=""131.46044""","=""1400""","=""""",,,
Ni,5,"=""131.4687""","=""131.4659""","=""130*""","=""8.46e+07""",D+,,
Ni,5,"=""131.4687""","=""131.4690""","=""130*""","=""7.27e+08""",C,,
Ne,4,"=""131.4697""","=""131.4688""","=""1""","=""""",,,
Sr,3,"=""131.4768""","=""131.47674""","=""18""","=""""",,,
Pt,5,"=""131.4809""","=""131.4806""","=""1294""","=""1.60e+08""",,,
Mg,5,"=""""","=""131.482""","=""""","=""9.38e+07""",C+,,
W,3,"=""131.4822""","=""131.4823""","=""20""","=""""",,,
Au,3,"=""131.484""","=""""","=""100""","=""""",,,
Ga,4,"=""131.4849""","=""131.4848+""","=""650""","=""""",,,
Re,3,"=""131.48755""","=""131.48741""","=""421*""","=""5.67e+07""",,,
Re,3,"=""131.48755""","=""131.4884""","=""421*""","=""2.33e+08""",,,
Ni,5,"=""131.4949""","=""131.4916""","=""95w*""","=""2.12e+08""",C,,
Ni,5,"=""131.4949""","=""131.4995""","=""95w*""","=""3.79e+08""",C,,
Pr,4,"=""131.496""","=""""","=""500""","=""""",,,
Fe,2,"=""131.4962""","=""131.495277""","=""2600""","=""""",,,
N,1,"=""""","=""131.497""","=""""","=""1.14e+05""",B,,
N,1,"=""""","=""131.498""","=""""","=""6.83e+04""",B,,
Re,4,"=""131.50164""","=""131.50197""","=""470""","=""4.33e+08""",,,
Ne,4,"=""131.5056""","=""131.5041""","=""1bl""","=""""",,,
Re,4,"=""131.50660""","=""131.50683""","=""176""","=""1.01e+08""",,,
Os,3,"=""131.50709""","=""131.50686""","=""52""","=""7.20e+07""",,,
Tb,4,"=""131.512""","=""""","=""700""","=""""",,,
Fe,3,"=""131.5129""","=""131.51390""","=""1100""","=""""",,,
Zr,5,"=""131.514""","=""""","=""200""","=""""",,,
Ne,4,"=""131.5142""","=""131.5159""","=""1bl""","=""""",,,
Pt,4,"=""131.5167""","=""131.5165""","=""183""","=""5.67e+07""",,,
Fe,2,"=""131.5192""","=""131.518949""","=""400""","=""""",,,
Xe,3,"=""131.5200""","=""131.52059+""","=""0""","=""""",,,
Ba,3,"=""131.5242""","=""131.5233""","=""3""","=""""",,,
Mg,4,"=""""","=""131.5260""","=""""","=""1.07e+06""",E,,
Ni,5,"=""131.5273""","=""131.5264""","=""70""","=""2.50e+08""",C,,
Pr,4,"=""131.528""","=""""","=""300""","=""""",,,
Sc,5,"=""131.5303""","=""131.5300""","=""8""","=""""",,,
O,2,"=""131.5338""","=""131.53393""","=""8""","=""""",,,
Os,3,"=""131.53691""","=""131.53699""","=""124""","=""1.19e+08""",,,
Co,3,"=""""","=""131.54052""","=""""","=""5.8e+01""",C,E2,
Pt,5,"=""131.5409""","=""131.5416""","=""47""","=""3.89e+07""",,,
Fe,3,"=""131.5414""","=""131.54135""","=""790""","=""""",,,
Re,5,"=""131.54158""","=""131.5416""","=""42""","=""4.80e+08""",,,
Co,2,"=""131.5417""","=""131.5422""","=""13000""","=""1.3e+08""",D,,
N,1,"=""""","=""131.543""","=""""","=""3.65e+05""",B,,
N,1,"=""""","=""131.544""","=""""","=""7.40e+04""",B,,
W,3,"=""131.5457""","=""131.5460""","=""20""","=""""",,,
Ne,4,"=""131.549""","=""131.5465""","=""1bl,w""","=""""",,,
Na,5,"=""""","=""131.551""","=""""","=""7.03e-01""",C,M1,
O,2,"=""131.5518""","=""131.5522""","=""8""","=""""",,,
W,4,"=""131.5534""","=""131.5531""","=""50""","=""""",,,
Pt,2,"=""131.55348""","=""131.55352""","=""1600""","=""""",,,
Fe,3,"=""131.5560""","=""131.55516""","=""1100""","=""""",,,
Ta,4,"=""131.558""","=""""","=""87""","=""""",,,
Pt,2,"=""131.5581""","=""131.55835""","=""180p""","=""""",,,
Ne,4,"=""131.559""","=""131.5576""","=""1bl,w*""","=""""",,,
Ne,4,"=""131.559""","=""131.5649""","=""1bl,w*""","=""""",,,
Ir,4,"=""131.5633""","=""131.56316""","=""264""","=""3.78e+08""",,,
Ni,5,"=""131.56680""","=""131.56679""","=""52""","=""6.43e+08""",C,,
W,4,"=""131.5679""","=""131.5681""","=""20""","=""""",,,
Fe,3,"=""131.5693""","=""131.56930""","=""1400""","=""""",,,
Ti,5,"=""131.5712""","=""131.5720+""","=""""","=""""",,,
Ba,3,"=""131.5722""","=""131.5721""","=""12""","=""""",,,
W,3,"=""131.5740""","=""131.5740""","=""50""","=""""",,,
Pt,4,"=""131.5758""","=""131.57531""","=""3518""","=""3.70e+08""",,,
V,2,"=""131.5777""","=""131.577809""","=""9600h""","=""""",,,
W,3,"=""131.5820""","=""131.5820""","=""20""","=""""",,,
Fe,2,"=""131.5849""","=""131.584751""","=""2200""","=""""",,,
Y,5,"=""131.5851""","=""131.5845""","=""500000i""","=""5.e+06""",E,,
N,3,"=""""","=""131.588""","=""""","=""2.12e+08""",B,,
Pt,5,"=""131.5889""","=""131.5892""","=""357""","=""1.02e+08""",,,
C,1,"=""131.5918""","=""131.591801""","=""1200000""","=""""",,,
Sr,5,"=""131.5924""","=""131.5929""","=""4""","=""""",,,
Pt,2,"=""131.59505""","=""131.59496""","=""54""","=""""",,,
Ti,12,"=""""","=""131.60*""","=""""","=""1.99e+04""",C,E2,
Ti,12,"=""""","=""131.60*""","=""""","=""1.91e+04""",C,E2,
Ti,12,"=""""","=""131.60*""","=""""","=""3.190e+03""",C,E2,
Ti,12,"=""""","=""131.60*""","=""""","=""2.390e+03""",C,E2,
Ni,5,"=""131.5979""","=""131.5977""","=""23H""","=""9.61e+07""",D+,,
Re,4,"=""131.60011""","=""131.60051""","=""108""","=""1.57e+08""",,,
Ir,4,"=""131.6003""","=""131.6000""","=""34""","=""2.49e+08""",,,
Nb,4,"=""131.6012""","=""131.6018""","=""2000""","=""7.06e+07""",B,,
W,3,"=""131.6020""","=""131.6023""","=""50""","=""""",,,
N,1,"=""""","=""131.6035""","=""""","=""1.06e+05""",B,,
Yb,4,"=""131.604""","=""""","=""900""","=""""",,,
Ir,4,"=""131.6085""","=""131.60781""","=""21""","=""2.67e+07""",,,
Co,2,"=""131.6094""","=""131.6097""","=""12000""","=""6.e+07""",D,,
Y,3,"=""131.610""","=""""","=""1500""","=""""",,,
O,2,"=""131.6150""","=""131.61499""","=""5bl""","=""""",,,
Mn,2,"=""131.616""","=""131.61388""","=""9*""","=""""",,,
Mn,2,"=""131.616""","=""131.61565""","=""9*""","=""""",,,
Fe,3,"=""131.6162""","=""131.61568""","=""6500""","=""3.6e+07""",D,,
W,3,"=""131.6177""","=""131.6170""","=""200*""","=""""",,,
W,3,"=""131.6177""","=""131.6176""","=""200*""","=""""",,,
Fe,3,"=""131.6222""","=""131.62049""","=""1400*""","=""""",,,
Fe,3,"=""131.6222""","=""131.62242""","=""1400*""","=""""",,,
Re,4,"=""131.62321""","=""131.6222""","=""1306bl(Re III)""","=""3.09e+08""",,,
Re,3,"=""131.62321""","=""131.62396""","=""1306bl(Re IV)""","=""6.16e+08""",,,
Mo,5,"=""131.6250""","=""131.6251""","=""14000""","=""1.30e+09""",B+,,
Pt,4,"=""131.6283""","=""131.6280""","=""265""","=""4.55e+08""",,,
N,1,"=""""","=""131.6291""","=""""","=""1.12e+06""",B,,
Ni,5,"=""131.6311""","=""131.6300""","=""13H""","=""9.24e+07""",D+,,
Os,3,"=""131.63561""","=""131.6355""","=""27""","=""6.54e+07""",,,
Re,4,"=""131.64015""","=""131.64129""","=""113""","=""5.20e+07""",,,
Mg,4,"=""""","=""131.6436""","=""""","=""4.05e+07""",C,,
Xe,3,"=""131.6442""","=""131.64363+""","=""8""","=""""",,,
N,3,"=""""","=""131.6444""","=""""","=""7.53e+07""",B,,
Pt,2,"=""131.64501""","=""131.64495""","=""280""","=""""",,,
Fe,2,"=""131.6497""","=""131.649461""","=""4000""","=""1.5e+07""",D+,,
Co,2,"=""131.6521""","=""131.651090""","=""420""","=""""",,,
Na,2,"=""131.6530""","=""""","=""12""","=""""",,,
W,7,"=""131.6533""","=""131.6533""","=""1000""","=""""",,,
S,1,"=""131.65423""","=""131.65425""","=""3000g""","=""7.89e+07""",C,,
Re,3,"=""131.65529""","=""131.65595""","=""758bl(Re IV)""","=""4.88e+08""",,,
Re,4,"=""""","=""131.65604""","=""m(Re III)""","=""5.00e+07""",,,
Sn,2,"=""131.6572""","=""131.6581""","=""210000""","=""2.14e+09""",B+,,
S,1,"=""131.66183""","=""131.66150""","=""1800g*""","=""2.10e+07""",C,,
S,1,"=""131.66183""","=""131.66219""","=""1800g*""","=""2.37e+06""",D,,
Re,3,"=""131.67041""","=""131.67053""","=""137""","=""2.20e+08""",,,
Pt,2,"=""131.67058""","=""131.67069""","=""200""","=""""",,,
Gd,4,"=""131.671""","=""""","=""500""","=""""",,,
Br,1,"=""131.6735""","=""131.67349+""","=""3000""","=""""",,,
N,3,"=""""","=""131.682""","=""""","=""2.54e+08""",B,,
N,3,"=""""","=""131.682""","=""""","=""4.23e+07""",B,,
Xe,3,"=""131.6873""","=""131.68702+""","=""2""","=""""",,,
Cd,4,"=""131.689""","=""""","=""15""","=""""",,,
Pt,2,"=""131.68913""","=""131.68906""","=""48""","=""""",,,
Os,3,"=""131.68972""","=""131.68983""","=""330""","=""5.57e+08""",,,
Nb,4,"=""131.6906""","=""131.6902""","=""75000""","=""3.2e+08""",C+,,
Ni,5,"=""131.6915""","=""131.6897""","=""81*""","=""3.60e+08""",C,,
Ni,5,"=""131.6915""","=""131.6912""","=""81*""","=""2.15e+08""",C,,
W,3,"=""131.6941""","=""131.6941""","=""50""","=""""",,,
Co,3,"=""""","=""131.69511""","=""""","=""1.00e+02""",C,E2,
Pr,4,"=""131.696""","=""""","=""300""","=""""",,,
Nb,4,"=""131.6971""","=""131.6977""","=""10000""","=""7.0e+07""",D+,,
Re,5,"=""131.69889""","=""131.6983""","=""221""","=""5.40e+08""",,,
Bi,4,"=""131.70""","=""""","=""60""","=""""",,,
W,3,"=""131.7007""","=""131.7002""","=""1""","=""""",,,
Fe,2,"=""131.7028""","=""131.702784""","=""4000""","=""5.5e+07""",D+,,
Pt,2,"=""131.70348""","=""131.70347""","=""200""","=""""",,,
Ni,5,"=""131.7038""","=""131.7027""","=""48p*""","=""5.23e+07""",D+,,
Ni,5,"=""131.7038""","=""131.7060""","=""48p*""","=""1.34e+08""",D+,,
W,4,"=""131.7081""","=""131.7082""","=""100""","=""""",,,
Os,3,"=""131.70852""","=""131.70891""","=""65""","=""7.43e+07""",,,
W,7,"=""131.7119""","=""131.7131""","=""3000""","=""""",,,
Pt,5,"=""131.7137""","=""131.7144""","=""419""","=""5.44e+07""",,,
W,3,"=""131.7138""","=""131.7142""","=""5""","=""""",,,
O,2,"=""131.7162""","=""131.71636""","=""10""","=""""",,,
Fe,3,"=""131.7165""","=""131.71487""","=""590""","=""""",,,
Pt,2,"=""131.72032""","=""131.72015""","=""500""","=""""",,,
Pt,4,"=""131.7204""","=""131.7216""","=""997""","=""7.13e+07""",,,
Ni,2,"=""131.722""","=""""","=""500""","=""""",,,
Sr,4,"=""131.7242""","=""131.72386""","=""6""","=""""",,,
Fe,2,"=""131.7249""","=""131.724730""","=""5000bl(Fe II)*""","=""""",,,
Fe,2,"=""131.7249""","=""131.725723""","=""5000bl(Fe II)*""","=""""",,,
W,3,"=""131.7335""","=""131.7334""","=""50""","=""""",,,
Br,1,"=""131.7372""","=""131.73750+""","=""1000""","=""2.8e+07""",E,,
Pt,2,"=""131.73856""","=""131.73860""","=""68""","=""""",,,
Mn,2,"=""131.739""","=""131.7374""","=""3""","=""""",,,
Co,3,"=""131.7439""","=""131.74423""","=""130""","=""4.1e+06""",E,,
Ni,5,"=""131.74440""","=""131.74449""","=""110""","=""9.05e+08""",B+,,
Xe,5,"=""131.7460""","=""131.7478+""","=""12""","=""""",,,
Os,3,"=""131.74729""","=""131.7481""","=""20""","=""7.56e+07""",,,
Re,3,"=""131.75315""","=""131.75378""","=""625""","=""8.01e+08""",,,
W,3,"=""131.7537""","=""131.7541""","=""10""","=""""",,,
Fe,2,"=""131.7542""","=""131.753747""","=""3600bl(Fe III)*""","=""""",,,
I,1,"=""131.7542""","=""131.754521""","=""42000""","=""""",,,
Fe,2,"=""131.7542""","=""131.754361""","=""3600bl(Fe III)*""","=""1.7e+07""",D+,,
V,2,"=""131.7557""","=""131.754970""","=""3200h""","=""""",,,
